time,mag,lat,lon,depth,place
2004-02-05 21:05,7.0,-3.615,135.538,16.6,"28 km S of Nabire, Indonesia"
2004-01-03 16:23,7.1,-22.253,169.683,22.0,"202 km ESE of Tadine, New Caledonia"
2003-12-27 16:00,7.3,-22.015,169.766,10.0,"201 km ESE of Tadine, New Caledonia"
2003-11-17 06:43,7.8,51.146,178.65,33.0,"Rat Islands, Aleutian Islands, Alaska"
2003-10-31 01:06,7.0,37.812,142.619,10.0,"133 km ESE of Ishinomaki, Japan"
2003-09-27 11:33,7.3,50.038,87.813,16.0,"29 km S of Aktash, Russia"
2003-09-25 21:08,7.4,41.774,143.593,33.0,"119 km ESE of Shizunai-furukawach?, Japan"
2003-09-25 19:50,8.16,41.815,143.91,27.0,2003 Tokachi-Oki Earthquake
2003-08-21 12:12,7.2,-45.104,167.144,28.0,"56 km NW of Te Anau, New Zealand"
2003-08-04 04:37,7.6,-60.532,-43.411,10.0,Scotia Sea
2003-07-15 20:27,7.6,-2.598,68.382,10.0,Carlsberg Ridge
2003-06-20 06:19,7.1,-7.606,-71.722,558.1,"105 km E of Cruzeiro do Sul, Brazil"
2003-05-26 19:23,7.0,2.354,128.855,31.0,"116 km NE of Tobelo, Indonesia"
2003-05-26 09:24,7.0,38.849,141.568,68.0,"27 km SSW of ?funato, Japan"
2003-03-17 16:36,7.1,51.272,177.978,33.0,"Rat Islands, Aleutian Islands, Alaska"
2003-01-22 02:06,7.6,18.77,-104.104,24.0,"16 km SSW of Cuyutlán, Mexico"
2003-01-20 08:43,7.3,-10.491,160.77,33.0,"126 km W of Kirakira, Solomon Islands"
2002-11-17 04:53,7.3,47.824,146.209,459.1,"262 km E of Dolinsk, Russia"
2002-11-03 22:12,7.9,63.5141,-147.4529,4.2,"2002 Denali Fault, Alaska Earthquake"
2002-11-02 01:26,7.4,2.824,96.085,30.0,"50 km NW of Sinabang, Indonesia"
2002-10-10 10:50,7.6,-1.757,134.297,10.0,"102 km SSE of Manokwari, Indonesia"
2002-09-08 18:44,7.6,-3.302,142.945,13.0,"68 km ESE of Aitape, Papua New Guinea"
2002-08-19 11:08,7.7,-23.884,178.495,675.4,south of the Fiji Islands
2002-08-19 11:01,7.7,-21.696,-179.513,580.0,Fiji region
2002-06-28 17:19,7.3,43.752,130.666,566.0,"50 km SW of Dongning, China"
2002-04-26 16:06,7.1,13.088,144.619,85.7,"20 km SSW of Merizo Village, Guam"
2002-03-31 06:52,7.1,24.279,122.179,32.8,"67 km ENE of Hualien City, Taiwan"
2002-03-05 21:16,7.5,6.033,124.249,31.0,"Mindanao, Philippines"
