time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2008-05-12T14:06:27.700Z,31.804,104.681,10,4.5,mb,17,114.8,,0.98,us,usp000g6ae,2014-11-07T01:35:58.696Z,"5 km NW of Jiangyou, China",earthquake,,,,2,reviewed,us,us
2008-05-12T14:03:16.700Z,31.325,103.984,10,4.3,mb,6,174.4,,0.75,us,usp000g6ad,2014-11-07T01:35:58.695Z,"37 km N of Tianpeng, China",earthquake,,,,1,reviewed,us,us
2008-05-12T14:02:14.310Z,31.242,103.829,10,4.5,mb,12,129,,0.5,us,usp000g6ac,2014-11-07T01:35:58.693Z,"30 km NNW of Tianpeng, China",earthquake,,,,2,reviewed,us,us
2008-05-12T13:58:26.840Z,31.475,103.402,10,4.4,mb,15,121,,1.31,us,usp000g6ab,2014-11-07T01:35:58.691Z,"74 km NW of Tianpeng, China",earthquake,,,,1,reviewed,us,us
2008-05-12T13:55:09.030Z,31.179,103.531,10,4.5,mb,30,88.1,,0.71,us,usp000g6aa,2014-11-07T01:35:58.689Z,"44 km WNW of Tianpeng, China",earthquake,,,,7,reviewed,us,us
2008-05-12T13:47:34.620Z,31.641,103.199,10,4.3,mb,10,127.8,,1.47,us,usp000g6a8,2014-11-07T01:35:58.686Z,"101 km NW of Tianpeng, China",earthquake,,,,1,reviewed,us,us
2008-05-12T13:40:54.130Z,31.028,103.511,10,5,ms,76,56.5,,0.8,us,usp000g6a6,2014-11-07T01:35:58.669Z,"41 km W of Tianpeng, China",earthquake,,,,1,reviewed,us,us
2008-05-12T13:37:10.420Z,32.234,105.17,10,4.4,mb,14,130.1,,0.74,us,usp000g6a5,2014-11-07T01:35:58.667Z,"65 km WSW of Guangyuan, China",earthquake,,,,1,reviewed,us,us
2008-05-12T13:36:03.950Z,32.349,104.893,25,4,mb,16,130,,1.19,us,usp000g6a4,2014-11-07T01:35:58.666Z,"66 km NNE of Jiangyou, China",earthquake,,33.6,,3,reviewed,us,us
2008-05-12T13:35:06.220Z,31.002,103.706,10,4.3,mb,16,103.6,,1.3,us,usp000g6a3,2014-11-07T01:35:58.664Z,"22 km W of Tianpeng, China",earthquake,,,,4,reviewed,us,us
2008-05-12T13:33:53.260Z,31.145,104.182,10,4.3,mb,10,117.2,,0.76,us,usp000g6a2,2014-11-07T01:35:58.663Z,"19 km W of Deyang, China",earthquake,,,,1,reviewed,us,us
2008-05-12T13:32:15.160Z,31.231,103.886,32.5,4.2,mb,25,86.9,,0.57,us,usp000g6a1,2014-11-07T01:35:58.660Z,"27 km N of Tianpeng, China",earthquake,,16.1,,5,reviewed,us,us
2008-05-12T13:30:27.900Z,31.708,104.405,29.6,4.1,mb,11,116.1,,0.32,us,usp000g6a0,2014-11-07T01:35:58.658Z,"30 km WSW of Jiangyou, China",earthquake,,23.6,,1,reviewed,us,us
2008-05-12T13:26:50.740Z,31.068,103.778,10,4.4,mb,12,129,,0.56,us,usp000g69z,2014-11-07T01:35:58.657Z,"17 km WNW of Tianpeng, China",earthquake,,,,1,reviewed,us,us
